Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,152.654998,-108.42133,270.0,bottom
C1,148.141575,-99.157907,0.0,bottom
C10,152.404998,-83.67133,0.0,bottom
C2,155.154998,-83.92133,180.0,bottom
C3,153.904998,-86.92133,180.0,bottom
C4,145.154998,-87.17133,90.0,bottom
C5,154.154998,-95.67133,270.0,bottom
C6,153.654998,-97.17133,180.0,bottom
C7,148.141575,-97.907907,180.0,bottom
C8,152.654998,-76.92133,90.0,bottom
C9,151.154998,-80.17133,90.0,bottom
D1,28.21125,-60.845001,270.0,bottom
D10,217.909818,-62.78355,263.5,bottom
D11,242.52375,-60.845001,270.0,bottom
D12,261.57375,-60.845001,270.0,bottom
D13,28.21125,-79.895001,270.0,bottom
D14,47.26125,-79.895001,270.0,bottom
D15,69.779889,-80.632832,276.5,bottom
D16,88.707433,-82.789354,276.5,bottom
D17,107.634977,-84.945875,276.5,bottom
D18,126.562521,-87.102396,276.5,bottom
D19,163.283708,-88.180657,263.5,bottom
D2,47.26125,-60.845001,270.0,bottom
D20,182.211252,-86.024136,263.5,bottom
D21,201.138796,-83.867615,263.5,bottom
D22,220.06634,-81.711093,263.5,bottom
D23,242.52375,-79.895001,270.0,bottom
D24,261.57375,-79.895001,270.0,bottom
D25,28.21125,-98.945001,270.0,bottom
D26,47.26125,-98.945001,270.0,bottom
D27,67.623368,-99.560376,276.5,bottom
D28,86.550912,-101.716897,276.5,bottom
D29,105.478456,-103.873419,276.5,bottom
D3,71.93641,-61.705289,276.5,bottom
D30,124.406,-106.02994,276.5,bottom
D31,165.440229,-107.108201,263.5,bottom
D32,184.367773,-104.95168,263.5,bottom
D33,203.295317,-102.795158,263.5,bottom
D34,222.222861,-100.638637,263.5,bottom
D35,242.52375,-98.945001,270.0,bottom
D36,261.57375,-98.945001,270.0,bottom
D37,93.858163,-121.722702,276.5,bottom
D38,112.785706,-123.879223,276.5,bottom
D39,131.71325,-126.035744,276.5,bottom
D4,90.863954,-63.86181,276.5,bottom
D40,158.132979,-127.114005,263.5,bottom
D41,177.060523,-124.957484,263.5,bottom
D42,195.988066,-122.800963,263.5,bottom
D5,109.791498,-66.018331,276.5,bottom
D6,128.719042,-68.174852,276.5,bottom
D7,161.127187,-69.253113,263.5,bottom
D8,180.054731,-67.096592,263.5,bottom
D9,198.982275,-64.940071,263.5,bottom
F1,149.654998,-77.92133,180.0,bottom
J1,149.654998,-67.17133,0.0,bottom
MX1,32.97375,-63.343751,0.0,top
MX10,222.906175,-64.565652,6.5,top
MX11,247.28625,-63.343751,0.0,top
MX12,266.33625,-63.343751,0.0,top
MX13,32.97375,-82.393751,0.0,top
MX14,52.02375,-82.393751,0.0,top
MX15,74.247304,-83.493195,353.5,top
MX16,93.174848,-85.649717,353.5,top
MX17,112.102392,-87.806238,353.5,top
MX18,131.029936,-89.962759,353.5,top
MX19,168.280065,-89.962759,6.5,top
MX2,52.02375,-63.343751,0.0,top
MX20,187.207609,-87.806238,6.5,top
MX21,206.135153,-85.649717,6.5,top
MX22,225.062697,-83.493195,6.5,top
MX23,247.28625,-82.393751,0.0,top
MX24,266.33625,-82.393751,0.0,top
MX25,32.97375,-101.443751,0.0,top
MX26,52.02375,-101.443751,0.0,top
MX27,72.090783,-102.420739,353.5,top
MX28,91.018327,-104.57726,353.5,top
MX29,109.945871,-106.733782,353.5,top
MX3,76.403825,-64.565652,353.5,top
MX30,128.873415,-108.890303,353.5,top
MX31,170.436586,-108.890303,6.5,top
MX32,189.36413,-106.733782,6.5,top
MX33,208.291674,-104.57726,6.5,top
MX34,227.219218,-102.420739,6.5,top
MX35,247.28625,-101.443751,0.0,top
MX36,266.33625,-101.443751,0.0,top
MX37,98.325578,-124.583065,353.5,top
MX38,117.253121,-126.739586,353.5,top
MX39,136.180665,-128.896107,353.5,top
MX4,95.331369,-66.722173,353.5,top
MX40,163.129336,-128.896107,6.5,top
MX41,182.05688,-126.739586,6.5,top
MX42,200.984423,-124.583065,6.5,top
MX5,114.258913,-68.878694,353.5,top
MX6,133.186457,-71.035215,353.5,top
MX7,166.123544,-71.035215,6.5,top
MX8,185.051088,-68.878694,6.5,top
MX9,203.978632,-66.722173,6.5,top
R1,152.654998,-74.92133,0.0,bottom
R2,152.654998,-72.42133,180.0,bottom
R3,150.904998,-101.42133,0.0,bottom
R4,148.404998,-101.42133,0.0,bottom
RST1,146.654998,-108.42133,90.0,bottom
U1,149.654998,-91.42133,90.0,bottom
U2,149.654998,-73.67133,90.0,bottom
U3,153.904998,-81.17133,180.0,bottom
